                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 2.1905,                 1.4662,                 1.1592,                0.31435,                0.19722,                 0.1692,                 0.0548,                 2.6697,                 1.8531,                 1.3496,             0.00036324,             0.00036324,             0.00036324
                     81,                 2.1817,                  1.458,                 1.1604,                0.29899,                0.21174,                0.17506,                0.05656,                 2.6687,                  1.847,                 1.3472,             0.00034674,             0.00034674,             0.00034674
                     82,                 2.1812,                 1.4379,                 1.1404,                0.23473,                0.21752,                0.16068,                0.05416,                 2.6664,                 1.8726,                 1.3539,             0.00033023,             0.00033023,             0.00033023
                     83,                 2.1902,                 1.4428,                 1.1516,                0.34312,                0.22693,                0.16816,                0.05348,                 2.6742,                   1.85,                 1.3412,             0.00031373,             0.00031373,             0.00031373
                     84,                 2.1722,                 1.4354,                 1.1447,                0.28225,                0.20352,                0.15768,                0.05259,                 2.6473,                 1.8757,                 1.3522,             0.00029723,             0.00029723,             0.00029723
                     85,                  2.158,                 1.4392,                  1.148,                0.27953,                 0.2176,                0.17123,                0.05755,                 2.6627,                  1.816,                  1.359,             0.00028072,             0.00028072,             0.00028072
                     86,                 2.1679,                 1.4055,                 1.1318,                 0.2791,                0.21679,                0.17148,                0.05618,                 2.6652,                 1.8501,                 1.3533,             0.00026422,             0.00026422,             0.00026422
                     87,                 2.1608,                 1.4444,                 1.1601,                0.26663,                0.21327,                0.16855,                 0.0556,                 2.6786,                 1.8169,                 1.3595,             0.00024772,             0.00024772,             0.00024772
                     88,                 2.1508,                 1.4138,                 1.1504,                0.25875,                0.21372,                0.16371,                0.05454,                 2.6592,                 1.8631,                 1.3553,             0.00023121,             0.00023121,             0.00023121
                     89,                  2.147,                 1.4066,                 1.1439,                0.27519,                0.20852,                0.16219,                 0.0546,                 2.6566,                 1.8552,                 1.3477,             0.00021471,             0.00021471,             0.00021471
                     90,                 2.1781,                 1.4269,                 1.1394,                0.25846,                0.21815,                0.16613,                0.05422,                 2.6547,                 1.8551,                 1.3402,             0.00019821,             0.00019821,             0.00019821
                     91,                 2.1737,                  1.456,                 1.1746,                0.24833,                0.22042,                0.16183,                0.05363,                 2.6583,                 1.8565,                 1.3599,              0.0001817,              0.0001817,              0.0001817
                     92,                  2.113,                 1.4022,                 1.1679,                0.34907,                0.20532,                0.16513,                0.05448,                 2.6622,                 1.8537,                 1.3537,              0.0001652,              0.0001652,              0.0001652
                     93,                 2.1331,                 1.3966,                 1.1471,                0.30509,                0.20977,                0.16971,                0.05565,                 2.6528,                 1.8341,                 1.3432,              0.0001487,              0.0001487,              0.0001487
                     94,                 2.1155,                 1.3922,                 1.1613,                0.33127,                0.21343,                0.17244,                0.05617,                 2.6556,                 1.8293,                 1.3404,             0.00013219,             0.00013219,             0.00013219
                     95,                 2.1037,                 1.3797,                 1.1477,                 0.3019,                0.22081,                0.16821,                0.05432,                 2.6627,                 1.8335,                 1.3521,             0.00011569,             0.00011569,             0.00011569
                     96,                 2.0768,                  1.356,                 1.1425,                0.31726,                0.21027,                0.17268,                0.05618,                 2.6479,                 1.8273,                 1.3485,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 2.0862,                  1.369,                 1.1477,                0.27009,                0.22178,                0.16778,                0.05417,                 2.6508,                 1.8499,                 1.3441,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                 2.0818,                 1.3554,                  1.147,                0.27124,                0.21735,                0.16804,                0.05587,                 2.6559,                 1.8415,                  1.346,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 2.0808,                 1.3678,                 1.1486,                0.26552,                0.21605,                0.16941,                 0.0559,                 2.6556,                 1.8315,                 1.3426,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                 2.0545,                 1.3496,                 1.1389,                0.26904,                0.21492,                0.17107,                0.05627,                 2.6563,                 1.8303,                 1.3453,             3.3173e-05,             3.3173e-05,             3.3173e-05
